Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Los Angeles Lakers,Portland Trail Blazers,0022000045,107,0.667,0.531,0.398,0.753,46.0,27.8,16.9,6.1,6.4,16.6,119.5,103.5,0.636,115,0.5,0.433,0.397,0.725,40.9,24.0,9.6,7.7,3.8,-8.7,109.6,118.8,0.539,0,12/28/2020
Brooklyn Nets,Memphis Grizzlies,0022000042,111,0.667,0.472,0.423,0.784,46.5,21.7,17.5,6.4,7.0,16.6,112.1,95.8,0.61,116,0.0,0.457,0.329,0.766,41.1,22.0,9.8,5.1,6.5,-10.3,107.9,118.2,0.553,0,12/28/2020
Atlanta Hawks,Detroit Pistons,0022000041,128,1.0,0.479,0.38,0.851,47.4,22.3,18.0,4.7,3.8,14.2,116.6,101.9,0.62,120,0.0,0.445,0.3,0.65,44.7,23.5,17.3,6.2,3.1,-8.4,97.3,105.8,0.527,1,12/28/2020
Denver Nuggets,Houston Rockets,0022000044,124,0.0,0.469,0.292,0.782,37.5,25.5,13.5,6.3,5.8,-7.2,110.6,118.4,0.566,111,0.0,0.517,0.314,0.781,39.3,25.2,15.0,4.7,4.7,-1.9,117.8,117.4,0.623,1,12/28/2020
Oklahoma City Thunder,Utah Jazz,0022000043,109,1.0,0.455,0.278,0.792,51.4,23.8,16.2,9.5,6.7,1.9,103.8,100.9,0.553,110,0.5,0.42,0.345,0.786,56.6,19.0,14.6,3.9,3.4,7.3,112.7,105.9,0.543,0,12/28/2020
Philadelphia 76ers,Toronto Raptors,0022000049,100,0.667,0.453,0.323,0.743,43.9,21.8,17.2,9.6,6.3,0.7,104.3,104.0,0.551,93,0.0,0.443,0.333,0.741,38.8,27.8,15.8,8.6,6.7,-9.1,101.9,111.5,0.541,1,12/29/2020
Phoenix Suns,New Orleans Pelicans,0022000053,111,0.667,0.461,0.33,0.765,43.1,26.1,12.7,6.9,4.9,5.6,106.2,101.3,0.554,86,0.667,0.433,0.337,0.695,46.9,20.8,17.8,10.6,4.3,1.3,102.0,101.3,0.536,1,12/29/2020
LA Clippers,Minnesota Timberwolves,0022000054,124,0.667,0.457,0.333,0.81,38.8,22.8,17.3,7.1,3.1,-10.5,105.4,115.6,0.573,101,0.667,0.414,0.286,0.767,43.6,22.4,12.8,8.3,5.1,-6.7,101.9,108.3,0.499,1,12/29/2020
Cleveland Cavaliers,New York Knicks,0022000046,86,1.0,0.513,0.434,0.712,44.5,28.7,17.1,11.6,4.0,12.2,111.9,100.3,0.6,95,0.333,0.462,0.429,0.767,43.3,23.8,16.1,6.4,5.4,-4.7,109.4,112.6,0.572,0,12/29/2020
Miami Heat,Milwaukee Bucks,0022000051,97,0.5,0.506,0.404,0.833,38.6,26.7,19.3,10.9,2.0,3.5,107.9,103.4,0.618,144,0.333,0.498,0.376,0.74,50.2,21.9,14.5,5.5,4.8,5.8,118.6,114.0,0.601,0,12/29/2020
Detroit Pistons,Golden State Warriors,0022000047,106,0.0,0.443,0.306,0.734,45.7,23.6,14.4,6.4,3.4,-8.3,104.3,112.2,0.536,116,0.333,0.374,0.304,0.808,39.1,19.4,12.2,8.4,4.8,-19.1,97.6,116.0,0.486,0,12/29/2020
Indiana Pacers,Boston Celtics,0022000048,111,1.0,0.52,0.279,0.698,43.0,26.9,14.2,10.1,6.3,10.8,112.0,101.6,0.585,116,0.333,0.45,0.389,0.722,41.3,22.3,13.3,9.0,6.0,-9.3,108.0,116.9,0.537,0,12/29/2020
Sacramento Kings,Denver Nuggets,0022000055,125,0.667,0.455,0.325,0.73,47.8,21.8,15.4,4.5,6.4,-3.5,105.8,108.3,0.544,115,0.333,0.489,0.344,0.701,41.8,27.0,14.1,6.8,6.1,-0.6,113.8,114.5,0.582,1,12/29/2020
Washington Wizards,Chicago Bulls,0022000050,107,0.0,0.477,0.354,0.656,40.9,26.1,14.8,5.7,3.5,-7.2,106.9,113.8,0.557,115,0.0,0.432,0.357,0.821,40.0,21.2,18.5,6.4,4.8,-12.1,102.4,115.6,0.562,0,12/29/2020
Oklahoma City Thunder,Orlando Magic,0022000052,107,0.5,0.46,0.338,0.767,44.2,22.3,16.5,9.2,5.8,0.5,105.8,105.9,0.565,118,1.0,0.474,0.357,0.814,44.0,21.1,13.2,9.1,1.9,7.2,114.2,107.3,0.584,0,12/29/2020
San Antonio Spurs,Los Angeles Lakers,0022000060,107,0.667,0.468,0.368,0.83,47.3,28.8,13.4,5.4,6.7,4.5,110.2,105.1,0.561,121,0.5,0.516,0.392,0.769,45.0,26.0,16.5,6.1,6.1,10.7,117.0,106.3,0.618,0,12/30/2020
Brooklyn Nets,Atlanta Hawks,0022000057,145,0.5,0.454,0.399,0.8,46.1,22.6,16.9,7.8,6.6,11.1,108.9,98.3,0.584,141,1.0,0.482,0.416,0.859,46.5,24.7,16.3,4.8,4.8,12.2,119.9,107.7,0.635,1,12/30/2020
Boston Celtics,Memphis Grizzlies,0022000056,126,0.5,0.461,0.393,0.725,41.8,22.0,13.5,9.3,5.3,-5.8,110.0,115.2,0.553,107,0.333,0.448,0.333,0.763,44.4,20.7,12.3,6.5,5.6,-5.2,107.1,112.0,0.543,1,12/30/2020
LA Clippers,Portland Trail Blazers,0022000061,128,0.75,0.477,0.373,0.823,40.8,25.3,16.8,6.9,4.8,-2.0,110.7,112.2,0.593,105,0.667,0.444,0.379,0.764,42.2,25.0,9.7,8.1,4.5,-3.2,111.4,115.7,0.553,1,12/30/2020
Miami Heat,Milwaukee Bucks,0022000058,119,0.333,0.494,0.362,0.783,35.4,25.2,20.0,10.2,3.3,-13.1,103.3,115.6,0.598,108,0.5,0.512,0.438,0.761,48.6,24.2,15.0,7.5,4.1,15.7,123.9,109.0,0.632,1,12/30/2020
Dallas Mavericks,Charlotte Hornets,0022000059,99,0.333,0.471,0.327,0.823,40.1,20.7,9.7,9.7,1.7,8.0,114.0,105.7,0.588,118,0.333,0.448,0.355,0.594,42.1,29.3,13.8,9.3,4.8,-2.3,105.1,107.4,0.532,0,12/30/2020
Orlando Magic,Philadelphia 76ers,0022000064,92,1.0,0.484,0.349,0.814,44.2,22.1,12.6,9.7,1.9,8.1,114.3,106.4,0.581,116,0.75,0.435,0.307,0.776,45.7,21.3,17.6,9.5,7.1,2.2,101.7,100.2,0.54,0,12/31/2020
Houston Rockets,Sacramento Kings,0022000065,122,0.0,0.486,0.365,0.764,37.9,24.6,15.2,6.2,3.8,-7.1,112.3,118.9,0.601,119,0.75,0.464,0.373,0.739,45.0,24.5,14.3,5.6,5.3,-0.2,110.2,109.6,0.559,1,12/31/2020
Utah Jazz,Phoenix Suns,0022000068,95,0.667,0.445,0.35,0.786,52.3,20.7,15.5,5.6,4.3,5.3,112.2,106.6,0.559,106,0.75,0.456,0.353,0.814,44.0,26.1,12.8,7.0,4.8,10.6,109.5,99.0,0.565,0,12/31/2020
Indiana Pacers,Cleveland Cavaliers,0022000062,119,0.75,0.518,0.303,0.722,41.2,26.9,14.4,9.8,6.0,7.0,111.5,105.1,0.59,99,0.75,0.477,0.374,0.705,44.3,27.2,16.2,11.9,5.4,7.3,106.1,99.3,0.561,1,12/31/2020
Toronto Raptors,New York Knicks,0022000066,100,0.0,0.415,0.348,0.78,40.9,25.2,16.9,9.6,6.7,-8.3,97.8,105.7,0.522,83,0.5,0.455,0.459,0.734,46.3,23.7,18.9,7.1,5.5,-1.3,106.0,106.2,0.564,1,12/31/2020
Washington Wizards,Chicago Bulls,0022000063,130,0.0,0.468,0.331,0.722,41.5,25.3,15.9,5.6,4.0,-7.3,104.7,111.9,0.558,133,0.25,0.433,0.371,0.802,38.6,21.9,17.1,6.4,3.9,-7.3,103.4,111.2,0.563,0,12/31/2020
Oklahoma City Thunder,New Orleans Pelicans,0022000067,80,0.333,0.471,0.333,0.694,44.7,21.4,17.5,7.1,6.1,-3.2,105.2,108.8,0.564,113,0.5,0.444,0.296,0.66,46.1,20.4,18.1,10.1,4.0,-5.3,99.5,105.9,0.529,0,12/31/2020
Golden State Warriors,Portland Trail Blazers,0022000078,98,0.5,0.399,0.329,0.781,39.4,19.8,13.8,8.3,5.5,-12.4,102.1,114.3,0.517,123,0.5,0.439,0.364,0.798,41.6,22.1,11.9,7.3,4.4,-8.0,109.0,117.9,0.558,0,01/01/2021
San Antonio Spurs,Los Angeles Lakers,0022000075,103,0.5,0.466,0.378,0.803,45.1,27.7,12.8,6.0,6.0,0.0,108.9,108.7,0.559,109,0.6,0.524,0.417,0.766,45.3,25.8,16.6,5.7,5.5,11.3,117.6,106.0,0.627,0,01/01/2021
Brooklyn Nets,Atlanta Hawks,0022000072,96,0.6,0.473,0.412,0.797,44.4,23.7,15.2,7.3,5.8,9.6,114.3,104.7,0.6,114,0.75,0.48,0.409,0.851,47.3,24.7,15.0,4.8,4.0,8.1,122.3,114.8,0.63,0,01/01/2021
Detroit Pistons,Boston Celtics,0022000070,96,0.0,0.428,0.321,0.753,45.8,23.1,14.6,6.8,4.0,-8.7,105.2,113.4,0.529,93,0.6,0.477,0.397,0.743,41.6,22.9,13.9,10.8,6.4,-0.8,112.7,112.6,0.571,1,01/01/2021
Utah Jazz,LA Clippers,0022000077,106,0.5,0.439,0.351,0.764,51.1,19.7,15.2,6.2,4.0,1.2,108.7,106.9,0.549,100,0.8,0.481,0.394,0.802,41.8,26.1,15.6,8.1,5.1,3.0,113.5,110.1,0.597,1,01/01/2021
Milwaukee Bucks,Chicago Bulls,0022000073,126,0.4,0.486,0.428,0.782,47.8,24.3,14.5,8.7,4.4,10.4,119.7,109.7,0.605,96,0.4,0.456,0.374,0.794,39.3,24.0,17.0,6.8,3.7,-5.4,108.1,114.1,0.58,1,01/01/2021
Dallas Mavericks,Miami Heat,0022000071,93,0.25,0.45,0.316,0.75,39.6,21.4,10.7,9.7,2.7,1.2,109.5,108.5,0.562,83,0.5,0.492,0.368,0.798,38.9,24.8,20.2,8.8,3.6,-7.1,105.6,112.4,0.606,1,01/01/2021
Denver Nuggets,Phoenix Suns,0022000076,103,0.25,0.501,0.355,0.72,41.0,26.9,15.5,6.8,5.8,-2.9,113.8,116.7,0.595,106,0.8,0.462,0.381,0.8,43.5,26.2,13.3,6.7,5.0,10.7,109.3,98.8,0.571,0,01/01/2021
Minnesota Timberwolves,Washington Wizards,0022000074,109,0.5,0.415,0.301,0.779,42.6,22.4,13.1,8.0,5.4,-10.7,101.9,112.7,0.505,130,0.0,0.474,0.358,0.74,40.4,25.5,15.5,6.0,4.0,-6.4,108.9,115.1,0.574,0,01/01/2021
Charlotte Hornets,Memphis Grizzlies,0022000069,93,0.5,0.463,0.375,0.647,43.9,29.4,16.3,8.5,5.1,2.9,108.0,104.6,0.556,108,0.25,0.443,0.318,0.752,44.4,21.7,14.5,6.8,4.9,-8.4,106.1,114.8,0.536,0,01/01/2021
Philadelphia 76ers,Charlotte Hornets,0022000082,127,0.8,0.445,0.338,0.787,47.1,21.5,17.0,9.0,7.6,6.4,103.9,98.0,0.551,112,0.4,0.452,0.36,0.651,43.6,28.1,16.8,8.6,4.9,-0.6,105.1,105.0,0.543,1,01/02/2021
Orlando Magic,Oklahoma City Thunder,0022000081,99,0.8,0.455,0.328,0.828,44.7,21.0,12.2,8.2,2.5,1.9,109.4,107.6,0.553,108,0.25,0.449,0.327,0.623,43.7,22.1,17.9,6.9,5.4,-10.6,99.5,110.3,0.54,0,01/02/2021
Houston Rockets,Sacramento Kings,0022000079,102,0.333,0.498,0.364,0.763,39.3,24.5,15.7,7.2,4.4,-3.8,112.9,116.3,0.61,94,0.6,0.465,0.364,0.741,44.4,23.8,14.2,6.5,5.2,-0.8,110.4,110.5,0.559,1,01/02/2021
Indiana Pacers,New York Knicks,0022000080,102,0.8,0.511,0.338,0.738,41.9,27.1,14.3,10.3,5.0,9.5,113.2,104.1,0.594,106,0.4,0.436,0.366,0.746,46.6,23.1,18.3,6.8,5.0,-4.4,101.2,104.8,0.536,0,01/02/2021
Atlanta Hawks,Cleveland Cavaliers,0022000083,91,0.8,0.476,0.409,0.851,47.5,24.6,14.2,5.4,3.8,10.0,121.0,111.2,0.619,96,0.6,0.472,0.399,0.67,44.1,26.2,16.5,10.6,5.5,2.1,104.9,103.2,0.556,0,01/02/2021
New Orleans Pelicans,Toronto Raptors,0022000084,120,0.6,0.452,0.311,0.655,48.7,21.0,17.2,9.9,4.0,2.4,102.6,101.0,0.538,116,0.25,0.413,0.342,0.758,43.7,24.2,17.1,8.9,6.5,-2.2,98.1,100.0,0.527,1,01/02/2021
Golden State Warriors,Portland Trail Blazers,0022000092,137,0.4,0.398,0.306,0.803,40.0,19.6,14.0,7.4,6.1,-14.7,100.7,115.2,0.519,122,0.6,0.438,0.385,0.79,43.2,22.2,11.5,8.0,4.1,-1.6,111.1,113.3,0.564,1,01/03/2021
San Antonio Spurs,Utah Jazz,0022000089,109,0.4,0.458,0.379,0.775,45.0,26.8,12.8,5.4,6.4,-1.2,107.8,108.3,0.554,130,0.6,0.443,0.352,0.748,50.9,21.7,15.2,5.7,3.9,2.2,109.9,107.5,0.55,0,01/03/2021
Chicago Bulls,Dallas Mavericks,0022000090,118,0.333,0.453,0.357,0.783,39.1,22.7,17.3,7.2,4.0,-9.0,104.4,114.4,0.568,108,0.4,0.443,0.317,0.748,41.5,20.8,12.0,9.6,2.8,3.0,106.4,104.0,0.556,1,01/03/2021
Phoenix Suns,LA Clippers,0022000091,107,0.833,0.466,0.379,0.822,43.0,26.1,14.1,5.8,4.9,9.5,110.0,100.7,0.579,112,0.667,0.466,0.394,0.816,42.7,25.3,14.8,7.8,5.6,1.5,113.0,110.9,0.585,0,01/03/2021
Brooklyn Nets,Washington Wizards,0022000086,122,0.5,0.463,0.377,0.801,44.5,22.9,15.2,7.1,5.9,5.2,111.4,106.3,0.584,123,0.167,0.487,0.379,0.743,40.5,26.8,15.4,6.5,3.8,-2.0,111.3,113.4,0.588,0,01/03/2021
Detroit Pistons,Boston Celtics,0022000085,120,0.2,0.424,0.321,0.735,46.0,22.1,15.6,7.2,3.6,-6.5,103.0,108.7,0.522,122,0.5,0.476,0.374,0.714,41.7,22.3,15.0,10.9,7.1,-1.2,108.7,109.5,0.564,0,01/03/2021
Minnesota Timberwolves,Denver Nuggets,0022000088,109,0.4,0.426,0.313,0.735,42.3,21.2,14.4,8.2,4.9,-12.6,102.5,114.9,0.516,124,0.2,0.492,0.366,0.732,41.0,27.5,15.0,6.9,5.0,-3.0,113.3,116.2,0.587,0,01/03/2021
Memphis Grizzlies,Los Angeles Lakers,0022000087,94,0.4,0.45,0.327,0.757,45.0,24.0,14.9,7.4,5.1,-4.0,106.2,110.6,0.543,108,0.667,0.502,0.418,0.772,47.2,25.9,16.0,6.0,5.7,10.4,115.8,105.5,0.605,0,01/03/2021
Philadelphia 76ers,Charlotte Hornets,0022000094,118,0.833,0.469,0.359,0.774,46.5,23.6,17.7,9.1,7.5,7.8,107.2,99.7,0.576,101,0.333,0.445,0.362,0.697,42.7,28.9,15.9,9.6,4.9,-2.9,105.5,108.1,0.542,1,01/04/2021
Golden State Warriors,Sacramento Kings,0022000101,137,0.5,0.424,0.317,0.796,41.6,19.8,14.0,6.8,6.2,-9.9,105.1,115.2,0.543,106,0.5,0.452,0.357,0.737,45.1,21.9,14.4,6.3,5.0,-1.9,108.3,109.5,0.545,1,01/04/2021
Orlando Magic,Cleveland Cavaliers,0022000093,103,0.667,0.439,0.314,0.822,46.4,21.0,11.2,8.0,2.2,0.2,107.9,107.5,0.532,83,0.667,0.463,0.371,0.682,44.7,25.2,16.4,10.6,5.0,2.6,104.2,101.8,0.545,1,01/04/2021
Houston Rockets,Dallas Mavericks,0022000098,100,0.5,0.485,0.351,0.757,41.6,22.4,15.4,7.9,5.8,-1.0,110.8,111.8,0.598,113,0.333,0.442,0.307,0.741,41.3,21.1,12.4,9.0,3.0,0.8,106.3,106.2,0.552,0,01/04/2021
Miami Heat,Oklahoma City Thunder,0022000096,118,0.4,0.469,0.337,0.781,39.6,24.0,19.5,9.1,3.3,-7.7,101.8,108.8,0.578,90,0.4,0.447,0.325,0.684,45.3,22.0,16.7,6.5,5.3,-6.7,101.0,108.3,0.546,1,01/04/2021
Milwaukee Bucks,Detroit Pistons,0022000099,125,0.5,0.487,0.439,0.756,46.5,24.4,14.6,9.7,4.6,13.4,118.9,105.6,0.611,115,0.167,0.432,0.341,0.761,44.3,23.3,14.8,7.4,4.2,-5.8,106.6,111.7,0.538,1,01/04/2021
Atlanta Hawks,New York Knicks,0022000095,108,0.667,0.466,0.4,0.814,47.8,24.3,15.6,6.0,4.1,7.6,116.7,109.4,0.599,113,0.5,0.447,0.378,0.748,47.8,23.3,18.1,6.4,4.7,-3.0,103.0,105.5,0.546,0,01/04/2021
Toronto Raptors,Boston Celtics,0022000097,114,0.2,0.414,0.332,0.82,43.0,23.5,15.8,8.4,6.0,-2.5,101.6,104.1,0.535,126,0.571,0.488,0.386,0.712,41.9,24.3,15.5,10.0,6.8,-0.7,111.4,111.8,0.577,0,01/04/2021
New Orleans Pelicans,Indiana Pacers,0022000100,116,0.667,0.447,0.322,0.687,49.0,21.9,16.5,9.3,4.5,2.7,105.7,103.6,0.545,118,0.667,0.494,0.348,0.752,40.7,26.6,13.6,9.7,4.9,7.4,112.6,105.4,0.588,0,01/04/2021
Brooklyn Nets,Utah Jazz,0022000102,130,0.429,0.467,0.384,0.819,44.9,23.0,15.7,6.8,6.2,4.3,111.6,107.3,0.592,96,0.667,0.461,0.38,0.721,51.3,22.7,15.8,5.3,5.0,5.3,112.0,106.7,0.57,1,01/05/2021
LA Clippers,San Antonio Spurs,0022000105,113,0.714,0.468,0.417,0.813,42.3,25.3,14.3,7.5,5.2,2.1,114.0,111.4,0.589,116,0.333,0.451,0.372,0.764,44.6,25.9,11.8,6.6,6.0,-4.3,106.9,110.6,0.54,0,01/05/2021
Portland Trail Blazers,Chicago Bulls,0022000106,108,0.5,0.435,0.375,0.789,42.3,21.0,11.5,7.7,3.7,-3.7,111.8,115.7,0.56,111,0.429,0.454,0.356,0.801,40.2,21.8,17.1,7.7,3.7,-6.5,106.1,113.2,0.572,0,01/05/2021
Denver Nuggets,Minnesota Timberwolves,0022000104,123,0.333,0.491,0.379,0.729,41.5,28.7,15.1,6.8,4.8,0.0,115.4,115.8,0.591,116,0.333,0.44,0.314,0.728,41.6,22.7,14.4,8.7,5.1,-13.1,104.3,116.8,0.527,1,01/05/2021
Memphis Grizzlies,Los Angeles Lakers,0022000103,92,0.333,0.443,0.319,0.765,46.1,24.0,14.7,7.2,4.8,-5.6,105.0,111.3,0.532,94,0.714,0.496,0.406,0.767,47.9,25.8,15.3,6.5,5.6,11.0,115.7,104.5,0.598,0,01/05/2021
Philadelphia 76ers,Washington Wizards,0022000109,141,0.857,0.471,0.357,0.757,47.5,24.9,16.6,8.8,7.1,9.1,108.2,99.4,0.574,136,0.286,0.475,0.377,0.742,41.1,26.5,14.1,6.7,3.6,-1.6,111.6,113.3,0.577,1,01/06/2021
Golden State Warriors,LA Clippers,0022000116,101,0.571,0.439,0.352,0.8,41.9,22.4,13.4,6.4,6.1,-4.4,107.9,112.6,0.56,108,0.625,0.472,0.419,0.822,42.7,25.9,14.2,7.3,5.4,1.4,114.2,112.3,0.592,0,01/06/2021
New York Knicks,Utah Jazz,0022000112,112,0.571,0.456,0.373,0.757,47.5,23.7,17.8,6.8,4.9,-1.9,104.6,106.1,0.552,100,0.571,0.45,0.373,0.718,49.7,21.8,15.7,5.4,4.7,-0.3,109.4,109.7,0.558,1,01/06/2021
Phoenix Suns,Toronto Raptors,0022000115,123,0.714,0.469,0.37,0.822,43.0,26.0,14.2,5.6,4.7,7.5,110.7,103.4,0.584,115,0.167,0.412,0.335,0.803,41.7,22.8,14.7,9.1,5.7,-4.0,102.9,106.8,0.535,1,01/06/2021
Orlando Magic,Cleveland Cavaliers,0022000108,105,0.714,0.438,0.335,0.83,47.8,21.3,12.7,8.2,2.9,2.9,108.1,105.0,0.535,94,0.571,0.453,0.369,0.674,43.7,24.7,16.5,10.9,4.9,-0.6,102.1,102.8,0.534,1,01/06/2021
Miami Heat,Boston Celtics,0022000111,105,0.5,0.485,0.36,0.75,40.7,25.6,18.9,8.7,2.8,-1.8,104.3,105.7,0.592,107,0.625,0.488,0.402,0.741,43.4,23.4,16.0,9.1,7.1,0.9,112.5,111.5,0.584,0,01/06/2021
Milwaukee Bucks,Detroit Pistons,0022000113,130,0.571,0.499,0.436,0.762,46.6,25.3,15.2,9.2,4.5,12.9,119.3,106.6,0.62,115,0.143,0.433,0.353,0.78,42.3,23.8,14.0,7.6,4.3,-6.4,107.5,113.0,0.54,1,01/06/2021
Indiana Pacers,Houston Rockets,0022000107,114,0.714,0.493,0.361,0.746,40.4,27.1,13.5,9.6,5.3,6.6,112.1,105.7,0.589,107,0.4,0.468,0.335,0.77,40.7,21.5,14.9,7.4,5.5,-3.3,109.8,113.1,0.587,1,01/06/2021
Atlanta Hawks,Charlotte Hornets,0022000110,94,0.571,0.465,0.391,0.811,46.8,24.3,15.2,5.7,3.8,5.9,115.6,110.1,0.593,102,0.286,0.442,0.357,0.701,43.1,28.9,16.0,8.8,4.7,-4.9,104.5,109.0,0.54,0,01/06/2021
Sacramento Kings,Chicago Bulls,0022000117,128,0.429,0.442,0.345,0.733,45.5,21.3,14.3,6.1,5.1,-5.9,106.6,111.8,0.538,124,0.5,0.452,0.361,0.804,41.5,22.3,16.8,7.4,3.9,-5.4,106.5,112.6,0.571,1,01/06/2021
New Orleans Pelicans,Oklahoma City Thunder,0022000114,110,0.571,0.445,0.323,0.7,49.6,22.2,16.5,8.5,4.4,2.0,106.0,104.4,0.541,111,0.333,0.435,0.314,0.688,44.1,21.7,16.9,6.4,5.1,-10.2,99.2,109.7,0.537,0,01/06/2021
Los Angeles Lakers,San Antonio Spurs,0022000121,109,0.75,0.489,0.392,0.771,48.6,25.7,15.5,6.6,6.0,9.9,113.4,103.6,0.587,118,0.429,0.452,0.396,0.761,44.6,25.6,11.7,7.0,5.6,-3.3,108.5,111.2,0.545,0,01/07/2021
Brooklyn Nets,Philadelphia 76ers,0022000118,122,0.5,0.479,0.385,0.813,45.5,23.9,15.3,7.2,6.1,7.8,113.5,105.7,0.6,109,0.875,0.488,0.387,0.748,45.4,25.6,16.5,8.7,6.9,8.5,110.9,102.7,0.594,1,01/07/2021
Portland Trail Blazers,Minnesota Timberwolves,0022000122,135,0.429,0.432,0.375,0.775,42.8,21.3,11.4,7.8,3.6,-3.6,111.3,114.9,0.556,117,0.286,0.443,0.316,0.738,41.3,22.7,14.2,8.5,4.9,-12.1,105.0,116.8,0.533,1,01/07/2021
Denver Nuggets,Dallas Mavericks,0022000120,117,0.429,0.495,0.372,0.73,41.2,27.5,15.1,7.1,4.4,1.0,115.7,114.9,0.596,124,0.429,0.447,0.322,0.764,43.0,21.6,13.3,8.3,3.0,2.6,108.0,106.1,0.562,0,01/07/2021
Memphis Grizzlies,Cleveland Cavaliers,0022000119,90,0.286,0.439,0.326,0.765,45.3,24.2,14.6,8.2,4.7,-5.1,103.9,109.3,0.527,94,0.5,0.449,0.344,0.677,44.2,24.8,15.8,10.7,4.8,-1.9,101.9,103.7,0.528,0,01/07/2021
Golden State Warriors,LA Clippers,0022000130,115,0.5,0.441,0.343,0.799,41.1,22.7,13.4,6.8,5.6,-4.7,107.4,112.2,0.557,105,0.667,0.469,0.408,0.846,43.4,25.1,14.8,7.2,5.1,2.1,113.6,111.3,0.592,1,01/08/2021
Los Angeles Lakers,Chicago Bulls,0022000131,117,0.667,0.49,0.386,0.753,48.6,25.2,15.3,6.1,5.8,7.9,113.1,105.2,0.586,115,0.444,0.461,0.36,0.804,41.7,22.8,16.8,6.9,3.7,-5.2,108.4,114.3,0.577,1,01/08/2021
New York Knicks,Oklahoma City Thunder,0022000125,89,0.625,0.464,0.372,0.754,47.7,23.6,17.2,7.2,4.9,-0.1,105.8,105.7,0.556,101,0.429,0.438,0.33,0.695,43.0,22.5,16.5,6.9,5.1,-8.6,100.4,109.3,0.545,0,01/08/2021
